"Set","PhageID","Host","Bacteria","StrainLabel","Count","Dilution","VolumePlated","PFU_mL","EOP","LFW","HostSpecies","Name","Year","LifeCycle","AtEmory"
1,"14D.1.1","Arthrobacter globiformis​","B2979","TARGET",37,6,3,1.23e+10,NA,"N","globiformis​","ButteryBiscuit",2023,"","Y"
1,"23E.1.1","Arthrobacter globiformis​","B2880","B",25,4,3,83300000,0.049,"N","globiformis​","Chabazite",2023,"","Y"
1,"23E.1.1","Arthrobacter globiformis​","B24025","F",0,2,3,NA,NA,"N","globiformis​","Chabazite",2023,"","Y"
1,"23E.1.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","Chabazite",2023,"","Y"
1,"23E.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Chabazite",2023,"","Y"
1,"23E.1.1","Arthrobacter globiformis​","B2979","TARGET",51,5,3,1.7e+09,NA,"N","globiformis​","Chabazite",2023,"","Y"
1,"I.1E.6.2.1","Arthrobacter globiformis​","B2880","B",44,3,3,14700000,0.0129,"N","globiformis​","Demasiado",2023,"Temperate","Y"
1,"I.1E.6.2.1","Arthrobacter globiformis​","B24025","F",0,2,3,NA,NA,"N","globiformis​","Demasiado",2023,"Temperate","Y"
1,"I.1E.6.2.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","Demasiado",2023,"Temperate","Y"
1,"I.1E.6.2.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Demasiado",2023,"Temperate","Y"
1,"I.1E.6.2.1","Arthrobacter globiformis​","B2979","TARGET",34,5,3,1.13e+09,NA,"N","globiformis​","Demasiado",2023,"Temperate","Y"
1,"1E.1.1","Arthrobacter globiformis​","B2880","B",34,2,3,1130000,2.83e-05,"N","globiformis​","Coopy",2023,"","Y"
1,"1E.1.1","Arthrobacter globiformis​","B24025","F",12,5,3,4e+08,0.01,"N","globiformis​","Coopy",2023,"","Y"
1,"1E.1.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","Coopy",2023,"","Y"
1,"1E.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Coopy",2023,"","Y"
1,"1E.1.1","Arthrobacter globiformis​","B2979","TARGET",12,7,3,4e+10,NA,"N","globiformis​","Coopy",2023,"","Y"
1,"32D.4.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","BananaPudding",2024,"Lytic","Y"
1,"32D.4.1.1","Arthrobacter globiformis​","B2880","B",14,5,3,4.67e+08,0.259,"N","globiformis​","BananaPudding",2024,"Lytic","Y"
